,post_message,num_like_post,num_comment_post,num_share_post
583,"GIÁ THỊT LỢN NHƯ "" NGỰA BẤT_KHAM "" , AI SẼ CHỊU TRÁCH_NHIỆM ? Là loại thực_phẩm phổ_biến trong các bữa ăn của người Việt , nhưng thời_gian qua thịt lợn liên_tục tăng_giá khó kiểm_soát khiến nhiều gia_đình đã phải thay_đổi thói_quen chi_tiêu , sinh_hoạt . Giải_pháp nào để đưa giá thịt lợn về tầm kiểm_soát ?",99,27,160
1234,"GS Luc_Montagnier , nhà_khoa_học đoạt giải Nobel Y_học 2008 , vừa công_bố kết_quả nghiên_cứu của về virus Vũ_Hán và khẳng_định chắc_chắn là nhân_tạo . Điều này báo_chí đã dẫn tin , search google ra hàng đống . Thôi bây_giờ sự_thật đã rõ rồi nhé !",366,34,32
231,Sợ trách_nhiệm và vô_cảm mới đúng !,1,0,0
1336,"Cả nhà ơi mẹ em vừa gọi bảo trên quê em có một bà_chị đẻ con ra đứa bé đã biết nói , đứa bé có nói là nếu thế_giới này , nhà nào không luộc trứng ăn thì sẽ chết hết , mỗi người ăn một quả trứng luộc sẽ thoát kiếp nạn này !",1,1,1
215,"# [ C ] ( <_URL_> ) on cái nhà ai mà gớm_mặt nhỉ , lấp cả hồ_Thủy_điện ?",137,44,46
712,Cơ_quan công_an đang xem_xét hành_vi có liên_quan của người mẹ để xác_định đồng_phạm hay che_giấu tội_phạm hay không ? Thật đau_xót ! [ < URL > ] ( <_URL_> ),29,3,2
670,Hành_khách trên 21 chuyến bay này hãy liên_hệ ngay với Trung_tâm Kiểm_soát bệnh_tật địa_phương để được hướng_dẫn theo_dõi sức_khỏe nhé .,8694,20,5200
55,Tại_sao chúng_ta lại nhắc đến mùa giải 2 < PHONE > ? Đơn_giản bởi đó thực_tế là mùa bóng gần nhất cho tới nay mà người_ta được chứng_kiến một cuộc đua Scudetto tay_ba căng_thẳng và gay_cấn tới phút chót .,34,2,10
743,"Bộ_trưởng Bruno_Bruins , 56 tuổi , sau đó giải_thích trên Twitter về sự_cố này là do ông đã làm_việc quá_sức liên_tiếp trong những tuần gần đây .",12,0,40
1181,Những người chỉ_huy cao nhất của quân_đội Mỹ phê_phán Trung_Quốc lợi_dụng đại_dịch COVID-19 để hại người lợi ta :,113,4,4
958,Hà_Nội sẽ giám_sát người cách_ly do Covid-19 thông_qua ứng_dụng Hà_Nội Smart_City . Vị_trí chính_xác của người bị cách_ly sẽ hiển_thị trên bản_đồ để người dân chủ_động_phòng trách dịch .,7,1,30
1187,"Cảm_ơn anh Quang_Pham đã lược_dịch tài_liệu của một chuyên_gia y_tế từ Vũ_Hán về VIRUS CORONA. Tôi thấy thật dễ hiểu và vô_cùng hữu_ích cho mọi người . -------- Thưa các bạn : ... Hiện_giờ trên mạng đã tràn_ngập tin_tức về virus corona . Đa_phần có tính_chất chung_chung không hữu_ích mấy trong việc chẩn_đoán và hướng_dẫn cộng_đồng trong việc tìm_hiểu và ngăn_ngừa Corona . Sáng nay tôi nhận được bài này từ một người bạn cùng lớp hiện đang làm_việc ở Los_Angeles , CA. Những tin_tức này có_vẻ thực_tế , dễ hiểu và dễ nhớ - Tôi cảm_thấy hữu_ích nên cố_gắng dịch sang tiếng Việt để các bạn dễ đọc . Đặc_biệt là những kinh_nghiệm này xuất_phát từ một người có bằng cao_học , làm_việc ở Quảng_Đông Trung_Quốc ! 1 . Nếu bạn bị sổ_mũi , có đờm , dãi – Bạn bị bệnh cảm_thông_thường . 2 . Coronavirus viêm phổi chỉ ho_khan , không có sổ_mũi 3 . Con virus này không chịu nổi nhiệt_độ cao , rất dễ bị tiêu_diệt ở nhiệt_độ vào khoảng 26/27 Celcius . 4 . Nếu có ai đó hắt_xì , nó sẽ bay khoảng 10 feet ( 3 m ) trước khi rơi xuống đất và không còn tồn_tại trong không_gian . 5 . Nếu nó rơi trên bề_mặt kim_loại , nó có_thể sống ít_nhất khoảng 12 giờ - Vì_vậy , nếu bạn chạm vào loại bề_mặt này , rửa tay ngay với xà_phòng . 6 . Trên vải , chúng sống khoảng 6-12 giờ , loại xà_phòng giặt thông_thường đủ để giết chúng . 7 . Uống nước nóng hiệu_quả trị mọi viruses . Đừng uống nước bỏ đá vào . 8 . Rửa tay bạn thường_xuyên , vì chúng chỉ có_thể sống trên tay bạn khoảng 5-10 phút – Tuy_nhiên , có nhiều chuyện xảy ra trong khoảng thời_gian này – bạn có_thể giụi mắt , móc mũi mà không để_ý . 9 . Cũng nên súc_miệng để ngăn_ngừa – Chỉ một dung_dịch muối thông_thường với nước ấm là đủ . 10 . Cực kỳ quan_trọng : uống thật nhiều nước ! TRIỆU_CHỨNG : 1 . Chúng nhiễm cổ_họng trước , vì_vậy bạn sẽ đau cổ_họng khoảng 3 , 4 ngày . 2 . Chúng sau đó sẽ hòa vào nước_mũi , rồi tới khí_quản , và phổi , gây viêm phổi_– Mất thêm 5 , 6 ngày nữa . 3 . Khi viêm phổi xảy ra , sẽ kèm theo sốt cao và khó thở . 4 . Nghẽn khí_quản với coronavirus không giống loại thường . Bạn có cảm_giác như đang bị chết_đuối . Hãy đi bác_sĩ lập_tức . ( Quang Phạm_lược_dịch ) Xem thêm",853,20,2400
279,"Cảnh_sát Bolivia bắt_giữ 4 quan_chức y_tế , trong đó , có Bộ_trưởng Y_tế Marcelo_Navajas để tiến_hành điều_tra tham_nhũng . Ông Navajas bị tình_nghi có liên_quan đến vụ đội giá mua lô máy thở điều_trị Covid-19 từ Tây Ban_Nha .",3206,86,1370
704,Liên_minh_Cứu sông Mekong ( Save the Mekong ) kêu_gọi hủy dự_án đập thủy_điện Sanakham tại Lào và tất_cả các dự_án đập thủy_điện khác trên dòng chính sông Mê_Kông . # thegioi # SavetheMekong # dựánđậpthủyđiện # Lào,251,1,230
1449,"Sài_Gòn cũng đã có một khu_vực bị cách_ly ở đường Nguyễn_Hiến_Lê_._Phường 13 , quận Tân_Bình . Mọi người nếu không thực_sự có nhu_cầu , nên hạn_chế đi qua tuyến đường đó .",147,46,26
224,Phương Mỹ Chi khẳng_định sẽ cùng ekip chọn cách xử_lý tới nơi tới chốn !,816,50,70
302,loạn quá rồi ..... [ < URL > ] ( <_URL_> ),19,6,1
1258,"Mỗi người dân VN đến nay mang nợ 4646 USD , và bình_quân mỗi ngày tăng 1USD !",13,0,0
218,< URL > gỡ khó dự_án “ lụt ” tiến_độ đầu_tư công,2,0,0
665,""" Bạn còn chưa biết cảm_ơn những người đã phải gấp_rút chuyển đồ giữa đêm cho bạn vào cách_ly đó "" ; "" Nhân_viên y_tế nằm ngủ ngoài_trời còn chưa than , còn bạn chăn ấm nệm êm với cơm bưng 3 bữa / ngày mà_còn chê này nọ "" ... là ý_kiến của nhiều cư_dân mạng về việc nữ du_học_sinh Canada chê_bai khu cách_ly mới_đây . Những ngày qua , bên cạnh thông_tin về tình_hình_dịch COVID - 19 , những hành_động đẹp trong việc quyên_góp , hỗ_trợ công_tác phòng , chống dịch_bệnh được ca_ngợi thì cũng xuất_hiện không ít hành_động chê_bai , dè_bỉu khu cách_ly khiến dư_luận “ dậy sóng ” , điển_hình là sự_việc của nữ du_học_sinh Canada mới_đây . Cụ_thể , mới_đây mạng xã_hội lan_truyền câu_chuyện nữ du_học_sinh Canada tên D.N đăng_tải bài viết chê_bai khu cách_ly tại KTX trường ĐH Quốc_gia < URL > trên trang cá_nhân . Trong đó người này dũng lời_lẽ khá thô_tục và mang tính miệt_thị khi viết : "" Không_thể sống nổi luôn á . Như này quá_sức chịu_đựng của mình rồi mọi người ơi ._Wifi không có , không có cái gì hết . Mọi người làm_ơn đặt trường_hợp đang sống ở một nơi gọi_là sạch_sẽ đi . Xong về ở như thế_này thì cảm_thấy như thế_nào ” . Đặc_biệt , khi được bạn_bè nhắc_nhở , D.N quay ra tỏ thái_độ và phân_bua rằng chỗ ở trong khu cách_ly hoàn_toàn bẩn_thỉu so với sự sạch_sẽ thường_ngày của mình . Ngay sau khi xuất_hiện trên mạng xã_hội , hành_động của nữ du_học sinnh Canada trên lập_tức khiến nhiều người bày_tỏ thái_độ tức_giận bởi theo họ , mặc_dù điều_kiện trong các khu cách_ly không đầy_đủ tiện_nghi như khách_sạn nhưng nó cũng không đến mức tệ_hại như lời D.N nói vì đây chính là nơi ở của nhiều sinh_viên . “ Trời_ơi , đi cách_ly chứ có phải đi du_lịch đâu mà đòi phải thế này , thế kia . Bạn không biết là để có chỗ cho những người như bạn vào ở , nhiều sinh_viên phải ở lại dọn_dẹp đến 2-3 giờ sáng không . Thay_vì chỉ_trích công_sức người khác , thì hãy yên_lặng mà dọn_dẹp đi ” ; "" Nhiều người cũng cách_ly như bạn mà họ có ca_thán câu nào đâu ._Bạn còn chưa biết cảm_ơn những người đã phải gấp_rút chuyển đồ giữa đêm cho bạn vào cách_ly đó "" ; "" Nhân_viên y_tế nằm ngủ ngoài_trời còn chưa than , còn bạn chăn ấm nệm êm với cơm bưng 3 bữa / ngày mà_còn chê này nọ . Mỗi người nên giúp nhau một_ít để cùng vượt qua khó_khăn chứ "" ; "" Về nước cách_ly thì nên cảm_thấy biết_ơn những người đã vì mình mà nhường nơi ăn chốn ở , thức đêm , nằm vạ_vật trên nền đất , chứ không phải ngồi đó mà chỉ_trích đâu "" ; … - nhiều bình_luận trên mạng xã_hội đối_với hành_động của nữ du_học_sinh Canada . Đối_mặt với làn_sóng chỉ_trích của dư_luận , được biết D.N đã khóa tất_cả tài_khoản mạng xã_hội .",122,3,80
1175,"TRUNG_QUỐC SẼ LÀM_GÌ ĐỂ TRÁNH MỘT CUỘC_CHIẾN CÓ_THỂ XẢY RA. Với sức_ép từ Phương_tây và quốc_tế , cuối_cùng TQ cũng đã dần thừa_nhận về những nguy_cơ lây_lan từ phòng_thí_nghiệm sinh_học từ Vũ_Hán để tránh những trừng_phạt nặng_nề từ nhân_loại . Thậm_chí TQ bắt_đầu lo_sợ một cuộc chiến_tranh nặng có_thể xảy ra sau khi nhận thấy virutiến_sĩ do họ gây ra đang ngày_càng tàn_phá nước Nga , một đối_tác chẳng khác gì đồng_minh có_thể sẽ trở_mặt hoặc sẽ thờ_ơ khi TQ xảy ra chiến_tranh ._Dù chưa có bằng_chứng vì TQ luôn ngăn_cản sự điều_tra của quốc_tế nên chưa khẳng_định sự chính_danh nhưng thực_tế sự biến_thể phức_tạp khó lường cũng như sự lây_lan nhanh_chóng khi hầu_hết các nước trên thể giới đều lây_nhiễm trong một khoảng thời_gian rất ngắn như thế thì mọi người cũng hiểu loại virut này chỉ có_thể do con_người tạo ra chứ không_thể sinh ra từ tự_nhiên và không loại_trừ là một loại vũ_khí sinh_học . Việc TQ có_thể làm giảm bớt căng_thẳng là từng bước dần thừa_nhận do sự "" sơ_suất "" hoặc "" thiếu trách_nhiệm "" từ nhóm chuyên_gia của phòng_thí_nghiệm ở Vũ_Hán sau thời_gian đã cố_tình đổ_lỗi cho Mỹ và Ý , để tránh những điều_tra về vũ_khí sinh_học . Nếu làm được điều này thì có_thể Hoa_Kỳ và các nước , thậm_chí là Nga sẽ có những "" bước_đi "" thận_trọng hơn . Nhưng TQ chắc_chắn sẽ khó tránh khỏi một cuộc trừng_phạt năng nề về kinh_tế mà người viết đã từng tiên_đoán từ những ngày đầu_tiên của dịch_bệnh lây_lan ra thế_giới !",13,0,2
1504,"DANH_SÁCH CHI_TIẾT 11 hành_khách quê Nghệ_An cùng chuyến bay với người ( + ) corona 1 , Xã Quỳnh_Giang , huyện Quỳnh_Lưu ... 2 , Ngõ 63 Trần_Hưng_Đạo , TP. Vinh 3 , Xóm 9 , xã Thọ_Thành , huyện Yên_Thành 4 , Xã Khánh_Thành , huyện Yên_Thành 5 , Khối 3 Phường Trung_Đô , TP Vinh 6 , Xóm 2 xã Hưng_Tân , Hưng_Nguyên 7 , Xóm 6 xã Bảo_Thành , Yên_Thành 8 , Huyện Nam_Dàn 9 , TP Vinh Nghệ_An 10 , Nghệ_An 11 , Nghệ_An MỌI NGƯỜI LƯU_Ý : Hiện sức_khỏe của 11 người Nghệ_An vẫn bình_thường , ko sao cả . Nhưng do bay cùng chuyến bay nên chỉ bị cách_ly theo_dõi sức_khỏe thôi nhé . Chứ mọi người ko phải lo_lắng quá . Tốt nhất đi đâu nên đeo khẩu_trang , hạn_chế ra khu_vực đông người , Xem thêm",1300,799,2500
295,Một nữ hộ_sinh tại Phòng_khám Phương_Thanh_- 85 Giải_Phóng - Hà_Nội đã có thời_gian làm_việc 2 năm tại Phòng_khám Phương_Thanh đã rút gan_ruột kể cho phóng_viên Lao_Động nghe về những ký_ức ám_ảnh tại phòng_khám này . Nữ_hộ_sinh này không_thể quên hình_ảnh các thai_nhi xấu_số đã không được cứu sống sau mỗi ca phá_thai từ ông Võ_Thủy_Phương - chủ phòng_khám . Video điều_tra độc_quyền của Báo Lao_Động đã ghi lại toàn_bộ những chi_tiết rùng_mình về các cuộc giải_cứu thai_nhi qua lời kể của nữ hộ_sinh này .,18,3,2
1156,"Trong ngày 28/01 , trên Twitter của Tổng_thống Hoa_Kỳ - < URL > “ Ơn_Chúa , Việt_Nam đã chữa khỏi thành_công coronavirus , bạn thật tuyệt_vời một đất_nước nhỏ_bé ! ” Thật tuyệt_vời khi đối_thủ ngày nào cũng đã công_nhận thành_tựu của Việt_Nam ta .",317,32,25
1089,CORONA Tại_sao trong mấy ngày qua Trung_Quốc đã giảm được số người nhiễm_bệnh đáng_kể ? Đơn_giản là họ bắt người Dân của họ súc miệng nước muối 1 ngày 3 lần . Sau khi súc xong họ để 5 phút sau rồi mới uống nước . nếu không thấy khát hay khó chụi vì độ_mặn thì để lâu hơn sau đó hãy uống nước càng tốt .... Virrut_CORONA chỉ có_thể tấn_công ở vùng cổ_họng rồi mới xuống phổi . KHI bị nước muối tấn_công VIRUT sẽ chết hoặc sẽ chạy xuống dạ_dày và nó sẽ tự tiêu_hủy trong dạ_dày . Đây là cách duy_nhất mà mọi gia_đình tại Trung_Quốc có_thể làm nhằm ngăn_chặn dịch_CORONA khi chưa có thuốc bán trên thị_trường phòng_ngừa thì đây là cách đơn_giản nhất rẽ tiền nhất ! Muối hiện đang là mặt_hàng ấm lên tại Trung_Quốc ! Cám_ơn Anh Năm 🙏 🙏 🙏 Xem thêm,885,11,6100
861,126.132 ca mắc dịch_bệnh viêm đường_hô_hấp cấp COVID-19 trên toàn thế_giới và 4.632 người tử_vong .,12,0,0
1017,Vì_sao Virus_Corona không thấy xuất_hiện ở các quốc_gia Hồi_Giáo . _ Vì chúng không có cửa ! -------- That's why Corona_Virus doesn't appear in Muslim countries .... Nửa_đêm cười mệt 🤣 Xem thêm,478,166,209
333,Viện_Kiểm_sát_Nhân_dân tỉnh Bình_Dương đề_nghị tuyên_phạt Phạm_Thị_Thiên_Hà - chủ_mưu vụ giết người giấu xác trong bêtông - mức án tử_hình .,34,1,30
1571,"Bác ở Canada vừa mới báo 1 tin_vui từ Canada trong cuộc_chiến chống corona , con_gái bác cũng làm trong ngành y ở Canada nên các bạn có_thể tin_tưởng và áp_dụng theo Hôm_nay , 1 nhà_khoa_học Canada vừa tìm ra được là nếu khẩu_trang có tẩm muối , Corona dính vào sẽ bị giết trong vòng 5 phút . Trong lúc chờ_đợi khẩu_trang tẩm muối được bán trên thị_trường , các bạn có_thể làm theo cách sau đây : 1 . Hai chén muối khuấy đều với nửa chén nước_lọc ( đun sôi ) cho muối tan .... 2 . Dùng cọ bôi lên nhiều lần dung_dịch muối ở phía ngoài khẩu_trang . Chờ khô , làm lại 2 lần nữa và sau đó có_thể dùng khẩu_trang đi ra ngoài . 3 . Nếu không có N95 , có_thể áp_dụng tạm_thời trên khẩu_trang giấy chống bụi , hoặc khẩu_trang bằng vải thường dùng . Nếu dùng khẩu_trang vải , cứ 2 ngày giặt nó 1 lần và tẩm muối như vừa chỉ_dẫn trên ._Nhớ là phải phơi khẩu_trang cho thật khô trước khi dùng . 4 . Không chỉ giết corona , mà muối còn giết được tất_cả những virus khác trong không_khí ! Thông_tin này cũng đã được đăng trên tạp_chí Business_Insider . Các bạn_đọc thêm ở đây , và thấy có_thể làm theo thì nên share post này đến nhiều người để cộng_đồng có thêm cách phòng_chống . Cộng_đồng an_toàn hơn thì mỗi chúng_ta cũng an_toàn hơn <_URL > … <_URL_> … / Mask-with-salt-coated-filter … Xem thêm",94,13,112
725,"Những động_tác yoga đơn_giản như thở sâu , thở biến_thể sẽ giúp bạn thanh_lọc cơ_thể đồng_thời tăng sức đề_kháng góp_phần phòng_chống dịch_COVID-19 .",10,0,30
1473,TIN SỐC Sáng nay 7 h Ca Phẫu_Thuật THẤT_BẠI hàng trăm nghệ_sĩ bật khóc khi nghe_Tin vè Hoài Linh,1,1,1
656,"Trong thư , Thủ_tướng viết : "" Các anh , các chị xứng_đáng là lực_lượng tinh_nhuệ tiên_phong trong cuộc_chiến chống COVID-19 "" .",44,0,0
933,"Sau sự lan_truyền mạnh_mẽ của ca_khúc "" Ghen Cô Vy "" trên toàn thế_giới , mới_đây , ca_khúc của Khắc_Hưng qua giọng_hát của Min và Erik đã được Tạp_chí Billboard của Mỹ xếp vào top ca_khúc cổ_vũ chống COVID-19 .",30,0,60
475,Một cá_thể chó_Sói đỏ và một cá_thể chó_Rừng quý_hiếm vừa được cơ_quan_chức_năng cứu_hộ thành_công .,42,0,10
762,"Bảo_hiểm xe_máy rao bán tràn_lan với giá 10.000 – 20.000 đồng là loại bảo_hiểm tự_nguyện , thường chỉ được bán kèm với bảo_hiểm xe_máy bắt_buộc .",24,21,0
483,"Điều_chỉnh , bổ_sung kế_hoạch đầu_tư trung_hạn vốn ngân_sách trung_ương",2,0,0
1042,"Từ ngày có dịch virus , Anh xã nhà e chưa bao_giờ lên_tiếng hoặc nói về dịch này Hnay xem tin_tức của 1 Trường Đại_học lớn ở bên Ấn_Độ , chuyên nghiên_cứu về các loại virus đã nghiên_cứu ra loại virus từ đâu mà có . Thật_sự là ko muốn tin và mong là ko phải sự_thật Virus này ko phải là 1 loại virus cảm cúm , hoặc như H5n1 hoặc đơn_giản các dịch khác , hoặc do tự_nhiên mà có Nghiên_cứu cho thấy , virus có cấu_trúc giống của HIV , căn_bệnh thế_kỷ , và nếu ai bị nhiễm phải cúm này có_thể khỏi n ... hưng sẽ lại bị nhiễm tái_lại , hiện_tại chưa có thuốc chữa dc virus này , là do con_người nghiên_cứu ra và bị phát_tán tại trung_quốc . Chỉ cân 1 giọt nhỏ vào nước và xịt ra không_khí là người quanh đó bị nhiễm dần_dần rồi Ai_mà bị ở Việt_Nam , Mà bao chữa khỏi rồi thì cũng nên cách_li cho bản_thân và mọi ng xug quanh nhé , nó kinh_khủng lắm ạ Ko dám ra khỏi nhà nữa luôn , mặc_dù đã phòng_bị đủ thứ trên người , ko đùa và mạnh_miệng được điều gì đâu ạ Thực_sự ko_thể chủ_quan được đâu , mọi người hạn_chế được việc gì thì hạn_chế nhé ! E ko dám đăng tin_tức linh_tinh đâu , nhưng đây là tin_tức xác_thực , e sẽ tải video lên cho mọi ng xem Xem thêm",88,19,28
746,"Từ 8 h đến 23 h ngày 29/3 , mẹ đẻ và bố_dượng của cháu M đã không cho cháu ăn_uống , dùng chân_tay và cán chổi bằng kim_loại đánh liên_tiếp vào người cháu M. Đến 8 h30 ngày 30/3 , thấy cháu M mệt , Lan Anh cho uống sữa nhưng cháu M nôn và ngất . Lan Anh đã đưa cháu M đến Bệnh_viện Đại_học Y cấp_cứu , nhưng chưa đến bệnh_viện thì cháu đã chết .",73,50,110
1516,"< URL > Nói_xấu cường_quốc số 1 thế_giới mà nói đúng cái xấu của họ thì tạm chấp_nhận . Đằng này có lũ người chuyên dựng chuyện , bịa_đặt , nói ngược sự_thật ... Trong bài báo nội_dung rõ_ràng là : Dù chi_phí điều_trị hơn 1.5 triệu đô nhưng bệnh_nhân ko hề phải chi_trả 1 đô nào . Toàn_bộ chi_phí đó sẽ được bảo_hiểm và chính_phủ Mỹ chi_trả . Vậy_mà tay thớt nó bịa_đặt , dựng chuyện nói ngược ra kinh_hồn .",25,15,1
408,"Chiều 26-3 , Bí_thư Thành_ủy < URL > Nguyễn_Thiện_Nhân chỉ_đạo Chủ_tịch UBND TP có chỉ_thị buộc mọi người dân < URL > khi ra đường phải đeo khẩu_trang .",3272,0,6690
